Var1,Freq
Acanthaceae,46
Achariaceae,5
Aizoaceae,1
Altingiaceae,1
Amaranthaceae,39
Anacardiaceae,61
Ancistrocladaceae,1
Anisophylleaceae,1
Annonaceae,94
Aphloiaceae,3
Apiaceae,5
Apocynaceae,130
Araceae,19
Araliaceae,15
Arecaceae,37
Asparagaceae,2
Aspleniaceae,1
Asteraceae,69
Balanopaceae,2
Balanophoraceae,1
Basellaceae,1
Betulaceae,2
Bignoniaceae,58
Bixaceae,3
Boraginaceae,31
Brassicaceae,1
Bromeliaceae,2
Burseraceae,22
Cactaceae,1
Calophyllaceae,12
Campanulaceae,2
Capparaceae,2
Caprifoliaceae,3
Cardiopteridaceae,10
Caricaceae,2
Caryocaraceae,1
Celastraceae,19
Chrysobalanaceae,8
Clethraceae,6
Clusiaceae,54
Colchicaceae,7
Combretaceae,5
Commelinaceae,15
Connaraceae,2
Convolvulaceae,43
Cornaceae,10
Crassulaceae,1
Cucurbitaceae,9
Cyatheaceae,8
Cyclanthaceae,10
Cyperaceae,8
Daphniphyllaceae,1
Dennstaedtiaceae,4
Dichapetalaceae,13
Dilleniaceae,5
Dioscoreaceae,1
Dipentodontaceae,2
Dipterocarpaceae,9
Ebenaceae,7
Elaeagnaceae,3
Elaeocarpaceae,45
Ericaceae,18
Erythroxylaceae,41
Escalloniaceae,3
Euphorbiaceae,173
Fabaceae,403
Fagaceae,11
Gentianaceae,2
Heliconiaceae,9
Hernandiaceae,5
Humiriaceae,3
Hypericaceae,3
Icacinaceae,2
Irvingiaceae,6
Ixonanthaceae,1
Juglandaceae,1
Lamiaceae,21
Lardizabalaceae,3
Lauraceae,38
Lecythidaceae,9
Lepidobotryaceae,5
Loganiaceae,29
Lophiocarpaceae,8
Loranthaceae,3
Magnoliaceae,1
Malpighiaceae,19
Malvaceae,89
Marantaceae,1
Marcgraviaceae,9
Melastomataceae,44
Meliaceae,65
Menispermaceae,7
Metteniusaceae,5
Moraceae,82
Myristicaceae,62
Myrtaceae,46
Nothofagaceae,1
Nyctaginaceae,9
Nyssaceae,1
Ochnaceae,26
Olacaceae,3
Oleaceae,11
Onagraceae,6
Oncothecaceae,1
Opiliaceae,1
Oxalidaceae,1
Pandaceae,11
Pandanaceae,4
Passifloraceae,12
Pedaliaceae,1
Peraceae,2
Peridiscaceae,1
Petiveriaceae,7
Phyllanthaceae,67
Physenaceae,15
Picramniaceae,1
Picrodendraceae,1
Pinaceae,8
Piperaceae,21
Pittosporaceae,1
Plantaginaceae,2
Poaceae,16
Podocarpaceae,4
Polygalaceae,5
Polygonaceae,17
Polypodiaceae,8
Primulaceae,37
Proteaceae,6
Pteridaceae,5
Putranjivaceae,8
Rhamnaceae,17
Rhizophoraceae,4
Rosaceae,18
Rubiaceae,205
Rutaceae,90
Sabiaceae,2
Salicaceae,52
Salviniaceae,1
Santalaceae,3
Sapindaceae,111
Sapotaceae,36
Schlegeliaceae,4
Schoepfiaceae,1
Selaginellaceae,1
Siparunaceae,27
Solanaceae,2
Stemonuraceae,8
Tetrameristaceae,1
Urticaceae,23
Verbenaceae,7
Vitaceae,3
