Var1,Freq
Abies,2
Abrus,3
Abuta,1
Acalypha,19
Acanthospermum,3
Acer,2
Aceratium,1
Achyranthes,28
Acmella,1
Acrosanthes,1
Acrotome,19
Adenocalymma,4
Adiantum,2
Ageratum,4
Aglaia,4
Agonandra,1
Aidia,5
Aiphanes,1
Albizia,1
Alchornea,6
Alibertia,10
Allagoptera,1
Allophylus,1
Alnus,2
Alocasia,1
Alseis,8
Alsophila,1
Alternanthera,3
Alyssum,1
Amelanchier,1
Amphilophium,4
Amyris,9
Ananas,1
Ancistrocladus,1
Anemopaegma,2
Angostura,5
Angylocalyx,1
Aniba,2
Anisopappus,8
Anisophyllea,1
Anisoptera,2
Annona,11
Anodendron,2
Anredera,1
Anthurium,5
Antidesma,25
Aphelandra,2
Aphloia,3
Aporosa,6
Apuleia,3
Aralia,1
Archidendron,2
Ardisia,31
Artabotrys,2
Artocarpus,5
Asclepias,7
Aspidosperma,8
Asplundia,10
Astragalus,1
Astrocaryum,1
Astrocasia,4
Asystasia,17
Austrobuxus,1
Axinaea,1
Azadirachta,3
Azolla,1
Baccaurea,6
Baccharis,2
Baccharoides,6
Bactris,6
Balanophora,1
Balanops,2
Balfourodendron,5
Baphia,1
Barleria,3
Bauhinia,94
Bellucia,12
Bernardia,5
Bertiera,1
Bidens,5
Bignonia,16
Billia,1
Bixa,1
Blakea,6
Blechnum,1
Blumea,1
Boerhavia,5
Boquila,3
Borismene,1
Brachylaena,5
Brenandendron,14
Brosimum,4
Calophyllum,9
Calycolpus,3
Campanula,1
Campyloneurum,1
Canarium,6
Caralluma,2
Carapa,37
Carapichea,1
Careya,1
Caryocar,1
Casearia,4
Cassia,1
Cassipourea,2
Castanopsis,5
Catunaregam,7
Cavendishia,1
Cecropia,2
Ceiba,9
Cenchrus,3
Centaurea,1
Cercestis,1
Cercis,1
Cercocarpus,2
Ceropegia,1
Cespedesia,1
Chaerophyllum,1
Chaunochiton,1
Cheiloclinium,2
Chimarrhis,6
Chionanthus,1
Chione,1
Chloris,1
Chomelia,4
Chondrodendron,1
Chrysochlamys,3
Chrysophyllum,12
Chytranthus,2
Ciliosemina,1
Cinchona,3
Citrullus,2
Clethra,6
Clitandra,1
Clusia,25
Coccoloba,9
Cochlospermum,2
Cocos,1
Cojoba,1
Cola,2
Colletia,2
Combretum,4
Commelina,4
Commiphora,6
Compsoneura,3
Conchocarpus,3
Corchorus,3
Cordia,29
Cornus,10
Couepia,2
Coulteria,1
Coussarea,2
Crassula,1
Crataegus,1
Crateva,2
Cratoxylum,3
Critonia,2
Critoniopsis,1
Crotalaria,12
Croton,7
Cryptocarya,1
Cucumis,4
Cupania,7
Curarea,1
Cuspidaria,3
Cyanotis,11
Cyathea,7
Cybianthus,1
Cyperus,7
Cyphostemma,3
Dacryodes,3
Dalbergia,1
Daphniphyllum,1
Dasyphyllum,1
Decatropis,3
Dehaasia,1
Deinbollia,14
Dendropanax,6
Desmodium,1
Desmoncus,1
Dialium,1
Diatenopteryx,10
Dichapetalum,12
Diclidanthera,1
Dicranostyles,1
Dictyoloma,2
Dictyophleba,1
Digitaria,1
Dillenia,1
Dilodendron,14
Dimocarpus,1
Dioscorea,1
Diospyros,7
Diphysa,1
Diplokeleba,1
Diplorhynchus,2
Dissomeria,1
Dolichandra,1
Doliocarpus,4
Dracaena,1
Dracontium,6
Drypetes,8
Dubouzetia,2
Duroia,1
Dussia,2
Dysphania,1
Dystovomita,2
Ecclinusa,15
Eclipta,2
Ehretia,2
Elaeagia,1
Elaeagnus,3
Elaeis,6
Elaeocarpus,4
Eleocharis,1
Elymus,1
Embothrium,4
Empogona,1
Endlicheria,3
Entada,4
Enterolobium,1
Eperua,1
Erycibe,18
Erythrina,10
Erythrochiton,3
Erythroxylum,41
Escallonia,3
Eschweilera,3
Esenbeckia,8
Eugenia,22
Eupatorium,1
Euphorbia,8
Euroschinus,1
Fagus,1
Faramea,6
Feretia,6
Ficus,47
Flacourtia,13
Flindersia,2
Forsteronia,45
Frangula,4
Freycinetia,2
Fridericia,7
Fuchsia,1
Funtumia,2
Gagnebina,1
Galipea,1
Galium,3
Garcinia,22
Gardeniopsis,1
Gaultheria,1
Geissanthus,4
Geissospermum,10
Geonoma,4
Geophila,1
Gloriosa,7
Gluta,1
Gmelina,1
Gomphandra,6
Gomphrena,5
Gonocaryum,3
Gonzalagunia,1
Graffenrieda,3
Greenwayodendron,1
Grias,1
Grossera,5
Guadua,7
Guapira,1
Guarea,13
Guatteria,8
Guilleminea,2
Guioa,1
Gustavia,1
Guzmania,1
Gyminda,1
Gymnacranthera,7
Gymnanthes,1
Gymnosporia,3
Hampea,1
Hancea,4
Harpagophytum,1
Hasseltia,7
Hasseltiopsis,1
Heliconia,9
Helicostylis,2
Henriettea,6
Heracleum,1
Hernandia,3
Herreria,1
Hibiscus,16
Hieronyma,2
Himatanthus,1
Hiraea,1
Hirtella,5
Homalium,10
Horsfieldia,3
Humiriastrum,3
Hunteria,1
Hura,1
Hymenaea,1
Hymenodictyon,1
Hymenolobium,1
Hymenostegia,1
Hyospathe,2
Hypsophila,1
