Var1,Freq
Abies amabilis,2
Abrus fruticulosus,3
Abuta panamensis,1
Acalypha cupricola,2
Acalypha fimbriata,7
Acalypha macrostachya,4
Acalypha skutchii,1
Acalypha stricta,5
Acanthospermum hispidum,3
Acer pseudoplatanus,1
Acer saccharum,1
Aceratium megalospermum,1
Achyranthes aspera,28
Acmella uliginosa,1
Acrosanthes angustifolia,1
Acrotome angustifolia,18
Acrotome tenuis,1
Adenocalymma croatii,2
Adenocalymma inundatum,2
Adiantum schweinfurthii,2
Ageratum conyzoides,4
Aglaia odoratissima,1
Aglaia oligophylla,1
Aglaia palembanica,2
Agonandra brasiliensis,1
Aidia bakeri,5
Aiphanes lindeniana,1
Albizia lebbeck,1
Alchornea grandiflora,2
Alchornea grandis,4
Alibertia curviflora,5
Alibertia edulis,5
Allagoptera caudescens,1
Allophylus cobbe,1
Alnus serrulata,2
Alocasia macrorrhizos,1
Alseis microcarpa,5
Alseis peruviana,3
Alsophila portoricensis,1
Alternanthera sessilis,3
Alyssum simplex,1
Amelanchier arborea,1
Amphilophium dasytrichum,1
Amphilophium nunezii,1
Amphilophium occidentale,1
Amphilophium scabriusculum,1
Amyris balsamifera,4
Amyris brenesii,2
Amyris elemifera,1
Amyris ignea,2
Ananas comosus,1
Ancistrocladus barteri,1
Anemopaegma insculptum,1
Anemopaegma parkeri,1
Angostura longiflora,5
Angylocalyx talbotii,1
Aniba bracteata,1
Aniba guianensis,1
Anisopappus chinensis,8
Anisophyllea ferruginea,1
Anisoptera costata,1
Anisoptera laevis,1
Annona ambotay,1
Annona purpurea,8
Annona scandens,2
Anodendron benthamianum,2
Anredera floribunda,1
Anthurium oreophilum,1
Anthurium triphyllum,1
Anthurium truncicola,2
Anthurium umbraculum,1
Antidesma erostre,7
Antidesma japonicum,8
Antidesma laciniatum,4
Antidesma montanum,2
Antidesma neurocarpum,3
Antidesma pendulum,1
Aphelandra hieronymi,1
Aphelandra scabra,1
Aphloia theiformis,3
Aporosa microstachya,2
Aporosa nitida,2
Aporosa villosa,2
Apuleia leiocarpa,3
Aralia soratensis,1
Archidendron borneense,1
Archidendron glabrum,1
Ardisia cabrerae,1
Ardisia compressa,5
Ardisia cornudentata,2
Ardisia crassa,1
Ardisia dunlapiana,8
Ardisia escallonioides,6
Ardisia nigropunctata,1
Ardisia nigrovirens,2
Ardisia revoluta,2
Ardisia sieboldii,3
Artabotrys brachypetalus,1
Artabotrys polygynus,1
Artocarpus anisophyllus,2
Artocarpus integer,3
Asclepias gibba,7
Aspidosperma excelsum,3
Aspidosperma megalocarpon,1
Aspidosperma megaphyllum,1
Aspidosperma multiflorum,2
Aspidosperma myristicifolium,1
Asplundia gamotepala,6
Asplundia pycnantha,2
Asplundia sanctae-ritae,1
Asplundia utilis,1
Astragalus glycyphyllos,1
Astrocaryum mexicanum,1
Astrocasia peltata,2
Astrocasia tremula,2
Asystasia gangetica,17
Austrobuxus cuneatus,1
Axinaea sodiroi,1
Azadirachta indica,3
Azolla pinnata,1
Baccaurea courtallensis,3
Baccaurea odoratissima,3
Baccharis darwinii,1
Baccharis pedunculata,1
Baccharoides calvoana,1
Baccharoides incompta,5
Bactris coloradonis,1
Bactris gasipaes,1
Bactris glandulosa,1
Bactris maraja,1
Bactris pilosa,2
Balanophora harlandii,1
Balanops australiana,1
Balanops vieillardii,1
Balfourodendron riedelianum,5
Baphia puguensis,1
Barleria gibsonii,2
Barleria ramulosa,1
Bauhinia aculeata,2
Bauhinia beguinotii,3
Bauhinia longicuspis,2
Bauhinia petersiana,83
Bauhinia ungulata,4
